Row Labels,Accommodation,Accounting & tax services,Advertising & market research,Agriculture,Air transport,Animal feeds,Aquaculture,Architectural services etc,Auxiliary financial services,Bakery & farinaceous,Beer & malt,Building & landscape services,Business support services,Cement lime & plaster,Cleaning & toilet preparations,Coal & lignite,"Coke, petroleum & petrochemicals",Computer services,"Computers, electronics & opticals",Construction,Creative services,Cultural services,"Dairy products, oils & fats processing",Education,Electrical equipment,Electricity,Employment services,Fabricated metal,Film video & TV etc; broadcasting,Financial services,Fish & fruit processing,Fishing,Food & beverage services,Forestry harvesting,Forestry planting,Furniture,Gambling,Gas etc,"Glass, clay & stone etc",Grain milling & starch,Head office & consulting services,Health,Households as employers,Imputed rent,Information services,"Inorganic chemicals, dyestuffs & agrochemicals",Insurance & pensions,Iron & Steel,Leather goods,Legal activities,Machinery & equipment,Meat processing,Membership organisations,Mining Support,Motor Vehicles,"Oil & gas extraction, metal ores & other",Other chemicals,Other food,Other land transport,Other manufacturing,Other metals & casting,Other personal services,Other professional services,Other transport equipment,"Paints, varnishes and inks etc",Paper & paper products,Pharmaceuticals,Post & courier,Printing and recording,Public administration & defence,Publishing services,Rail transport,Real estate - fee or contract,Real estate - own,Rental and leasing services,Repair & maintenance,Repairs - personal and household,Research & development,Residential care and social work,Rubber & Plastic,Security & investigation,Soft Drinks,Spirits & wines,Sports & recreation,Support services for transport,Telecommunications,Textiles,Tobacco,Travel & related services,Veterinary services,"Waste, remediation & management",Water and sewerage,Water transport,Wearing apparel,Wholesale & Retail - vehicles,Wood and wood products
Cultural services,0.019792,0.173414,0.339771,0.008729,0.098739,0.014978,0.012816,0.200133,0.022291,0.013691,0.020022,0.026192,0.259301,0.020307,0.019171,0.010036,0.008523,0.030117,0.013487,0.018794,3.439607,1032.069,0.010108,0.284973,0.011733,0.012318,0.31608,0.013976,2.135898,0.037639,0.020215,0.012154,0.015866,0.064405,0.154585,0.02692,0.038984,0.009345,0.015781,0.034697,0.122266,0.125957,0,0.004991,0.030102,0.007059,0.076185,0.010009,0.016543,0.072303,0.013565,0.012889,0.673015,0.020238,0.00878,0.015245,0.008418,0.022496,0.046119,0.023574,0.012407,0.040146,0.06463,0.019693,0.026274,0.017969,0.012999,0.03057,0.829589,0.756216,2.796399,0.027564,0.024747,0.034306,0.020296,0.026243,0.020191,0.061666,0.329094,0.010678,0.01295,0.023712,0.021576,6.46124,0.015513,0.02348,0.010347,0,0.121692,0.016793,0.211584,0.00955,0.023441,0.028425,0.017405,0.01865
"Dairy products, oils & fats processing",1.363025,0.081977,0.142326,0.173379,0.479463,3.716438,0.271812,0.109066,0.217529,13.17699,0.217743,0.470545,0.151111,0.085534,0.171307,0.041421,0.072671,0.065492,0.090195,0.059441,0.158313,0.377442,1018.329,0.219138,0.06525,0.026318,0.062546,0.0603,0.059385,0.17055,2.259083,0.126966,1.461807,0.085976,0.051095,0.058808,0.166003,0.030121,0.10218,1.09682,0.088967,0.202682,0,0.013945,0.061653,0.064183,0.146832,0.120087,0.118688,0.072513,0.082627,0.439888,0.17997,0.274908,0.098051,0.137129,0.156888,7.969671,0.101761,0.052292,0.069398,0.015812,0.076572,0.056953,0.253677,0.07272,0.132024,0.350763,0.069994,0.053286,0.054333,0.229732,0.080343,0.024138,0.050305,0.042654,0.035629,0.062079,0.403549,0.076644,0.098656,1.164302,0.125439,0.168544,0.130286,0.111249,0.077659,0,0.133946,0.318567,0.136939,0.016708,0.106526,0.064656,0.092348,0.074336
Education,2.793548,17.35351,9.222885,1.366656,7.519538,1.451227,1.508899,15.60006,4.18487,1.609349,2.593808,4.510179,4.974731,2.429584,2.286528,1.40028,1.805278,6.04801,2.313095,2.247097,3.896786,2.206323,1.372085,1055.357,1.862849,2.362509,8.391522,2.825098,4.034979,12.07753,1.210426,1.525282,3.11309,1.676538,1.580695,4.281239,3.099461,1.668295,1.835021,1.260862,4.677723,3.649813,0,0.91024,2.292963,1.858018,10.62747,1.237266,1.757645,21.26402,2.560937,0.936274,3.471035,1.731335,1.386155,1.399948,1.648426,2.083484,3.346096,3.269871,1.391447,2.499376,3.312455,3.129565,3.277632,1.408288,1.488383,10.34814,1.686576,32.87082,1.289302,4.547906,3.44032,3.222342,1.629284,2.419248,4.773465,53.91403,7.071007,1.570828,2.707571,3.932657,1.854713,3.707543,3.864815,8.362007,1.267787,0,5.626562,7.292956,6.57206,1.672331,2.918733,2.41045,1.576754,1.756966
Electrical equipment,0.137169,0.098592,0.194577,0.479436,0.732607,0.603994,1.280618,0.314504,0.244717,0.495281,2.180527,0.50876,0.134933,0.477155,0.807365,0.669219,0.570422,0.339321,5.34953,2.174791,0.231222,0.711082,0.560624,0.21815,1009.721,2.30823,0.130042,1.27262,0.187557,0.237372,0.910975,4.725664,0.169466,0.642296,0.43462,0.602509,0.19391,0.497249,0.620767,0.508618,0.108534,0.300665,0,0.1184,0.48113,0.334471,0.298511,0.690552,0.378379,0.184887,4.488989,0.511759,0.137947,1.378561,3.832957,0.568891,0.334789,0.519455,1.748288,3.504523,1.516672,0.120728,0.146998,4.25451,0.739938,0.489064,0.162426,0.523569,0.3746,0.916768,0.178774,0.5504,0.248821,0.341086,1.728654,4.060079,3.521265,0.391892,0.225253,1.486871,0.411263,1.060421,0.526963,0.673718,0.297593,1.247837,0.355708,0,0.309045,0.763786,0.990686,0.255671,0.652046,0.354946,0.634527,0.922644
Electricity,12.64248,6.611969,5.240475,14.407,10.96051,31.70534,94.53682,12.16286,12.2103,29.6274,35.78101,9.839047,9.100948,87.29508,13.97929,39.5626,98.50724,8.776943,18.55875,14.2966,19.90939,34.30507,25.67113,8.586107,22.9283,0,9.944277,42.14001,4.38496,9.861445,39.00786,65.61962,10.80258,24.40573,14.64497,40.9793,6.086522,0,94.20524,32.40723,5.609307,15.25856,0,9.504448,9.669325,71.22425,7.639647,39.13689,12.03134,6.066054,40.29777,24.3327,5.873729,39.06681,14.44744,58.69681,7.844641,23.59407,9.654861,20.37574,61.90501,6.470156,5.325174,49.67738,16.88243,89.58002,13.68183,13.35444,31.91523,14.03844,9.637769,28.31962,4.758776,4.839697,11.26212,17.21042,6.380417,8.614883,9.054007,26.56048,2.848705,16.89371,35.35792,18.28377,5.608793,11.83224,14.05814,0,8.673467,17.86334,11.1123,30.67016,4.139498,21.82658,9.103875,32.11975
Employment services,5.319066,3.099255,3.853366,1.693636,5.243221,3.009479,3.376831,12.19871,4.469603,6.149539,3.65661,5.785448,8.575531,3.506222,5.305719,1.526559,1.851804,18.34662,7.816703,4.688605,10.99146,7.801754,3.816509,3.520064,4.675573,3.813999,1078.126,3.004345,5.64481,10.02823,10.43275,11.87303,4.367672,4.162042,7.940871,8.842175,2.374967,2.808,4.361668,2.953751,17.24603,8.81917,0,0.866801,8.403728,2.098687,10.9606,2.753344,1.64896,6.146946,5.884059,9.858539,3.033651,3.40395,2.99929,3.168441,1.456445,5.714508,6.476302,2.843397,2.349257,2.576732,5.246693,11.98683,3.275371,2.372665,1.936457,5.594611,2.445774,4.757827,14.11917,4.155285,7.474637,2.46574,5.81135,53.69761,13.17341,12.61219,7.975138,2.537764,4.916318,4.596884,2.694722,36.85086,5.248795,3.495955,1.440632,0,7.524834,9.241424,5.908238,2.959361,4.30803,3.411085,1.714628,2.79433
Fabricated metal,1.054827,0.470451,0.748659,6.140054,2.824567,18.09249,11.23139,1.372558,0.928363,8.031366,130.8141,2.700347,1.106651,2.776191,19.55811,10.55806,9.010591,0.807714,9.558772,21.37809,0.940296,1.734512,7.037853,1.001466,34.73551,4.77779,0.515929,1057.226,0.426543,0.966153,8.247229,15.76712,1.989172,8.644893,2.112559,11.89724,0.596157,1.486274,8.109266,3.236551,0.619323,1.221681,0,0.878918,0.944634,1.460494,1.753965,23.98028,9.730765,0.658516,53.39004,6.201533,0.58288,31.76819,54.72358,4.186553,3.52735,12.46031,2.080905,16.4997,58.9255,0.290372,0.635623,63.21252,16.38888,2.635653,2.715029,1.209977,2.574411,2.894371,1.187547,5.269624,0.930719,2.613991,1.389142,10.87712,4.109879,1.491411,0.884135,35.76059,0.638389,40.26449,11.09778,1.666963,1.487261,1.92242,8.438242,0,1.360329,2.195735,6.817754,1.841786,3.719863,4.17627,3.725528,21.51846
Film video & TV etc; broadcasting,0.310582,0.059824,0.133887,0.032519,0.133443,0.118764,0.037706,0.176435,0.080756,0.098486,0.133694,0.06741,0.106425,0.071167,0.166845,0.03873,0.033557,0.148801,0.070176,0.046104,0.523424,2.198133,0.0503,0.056567,0.065468,0.059817,0.095796,0.056224,1003.478,0.175748,0.138883,0.030926,0.097616,0.043076,0.067951,0.128284,0.1431,0.05306,0.048686,0.43446,0.186709,0.039161,0,0.026495,0.192661,0.020704,0.235764,0.030477,0.128825,0.069966,0.050571,0.070571,0.482395,0.044039,0.03695,0.034434,0.041586,0.195097,0.097858,0.119467,0.033019,0.042786,0.058327,0.059122,0.258414,0.066878,0.096053,0.147827,0.200857,0.164076,0.422615,0.126826,0.131683,0.042828,0.147698,0.04478,0.071549,0.076383,0.068206,0.054261,0.045747,0.236718,0.165343,0.767632,0.078209,0.137462,0.064474,0,0.074108,0.037182,0.090021,0.015001,0.116137,0.144195,0.085037,0.101839
Financial services,14.04774,18.04965,15.1115,10.3867,15.2253,17.77113,18.69575,19.28823,12.75975,16.07465,23.82709,15.88749,12.81292,38.37389,9.773121,31.37104,17.71011,10.3025,10.07485,14.46639,12.84305,4.411085,11.64247,1.489111,16.6628,21.14827,23.19005,26.52386,6.913171,1035.815,18.85947,27.21505,11.50876,24.35763,21.51252,22.75016,8.47218,15.77992,24.3711,12.13625,13.8212,5.758501,0,56.10102,9.678313,13.95579,19.40166,10.56811,8.407869,12.77883,14.91621,8.434232,3.863174,35.26682,15.09668,48.23115,23.44343,20.71732,11.63151,30.44237,14.63835,7.081481,12.80501,24.7017,13.67175,17.77887,11.04566,15.94688,13.37113,21.85016,5.541398,9.795645,88.27795,45.5425,15.36715,17.43712,8.924585,13.67686,3.690983,13.04056,10.25478,16.95631,22.02676,8.986282,14.31315,13.11197,8.572759,0,25.46369,8.97021,27.00017,11.26237,10.75657,50.46879,11.34023,28.86858
Fish & fruit processing,2.225562,0.101615,0.214548,0.83213,0.506521,5.338153,0.853566,0.237399,0.072918,5.532435,0.61994,0.679055,0.347508,0.128905,0.101647,0.066651,0.102431,0.114989,0.225471,0.089068,0.256272,0.491239,0.701453,0.369821,0.127559,0.041832,0.38153,0.079576,0.161476,0.281049,1031.496,0.193671,5.048186,0.124336,0.102876,0.09752,0.215436,0.043217,0.207685,4.597014,0.139773,0.391202,0,0.022408,0.142892,0.081091,0.231772,0.169055,0.670931,0.157021,0.108394,1.149682,0.296053,0.168217,0.117492,0.225075,0.117876,4.81644,0.285412,0.073095,0.086165,0.088852,0.168541,0.083461,0.203213,0.104504,0.114059,0.645669,0.098242,0.183043,0.122163,0.365147,0.069005,0.042258,0.072787,0.072101,0.067438,0.287756,0.63491,0.103612,0.141908,7.291518,1.020873,0.437843,0.319108,0.170981,0.087399,0,0.478647,0.931857,0.173123,0.027983,0.251157,0.108944,0.174104,0.118735
Fishing,0.404954,0.01156,0.019331,0.078084,0.048516,0.388867,0,0.024244,0.011412,0.394947,0.073736,0.058939,0.027738,0.601294,0.02227,0.028667,0.027237,0.012015,0.04262,0.086774,0.025718,0.045491,0.07158,0.031329,0.027576,0.01062,0.031613,0.024193,0.017331,0.028766,70.97898,0,0.792909,0.041579,0.027245,0.023778,0.020956,0.013467,0.431157,0.337164,0.013976,0.037654,0,0.005781,0.013964,0.270729,0.041582,0.036991,0.06452,0.015811,0.029509,0.10456,0.028319,0.028108,0.039502,0.237138,0.049281,0.351514,0.032267,0.10528,0.033435,0.008576,0.014921,0.023531,0.048894,0.039307,0.012221,0.052627,0.026233,0.02764,0.019129,0.053269,0.008532,0.014298,0.015583,0.015572,0.01306,0.022896,0.066586,0.028199,0.015545,0.51973,0.085184,0.040691,0.037023,0.021174,0.022565,0,0.067199,0.075617,0.030359,0.00735,0.936045,0.024706,0.02438,0.027277
Food & beverage services,1.355787,1.121809,0.596614,0.772611,4.260994,1.31756,3.275684,1.241633,0.983114,1.140533,0.733641,0.945946,1.109606,1.693171,0.62187,0.948856,0.618426,0.798283,9.896521,1.115368,2.312918,0.766766,1.00981,1.843157,0.779405,1.219936,0.515193,0.327433,0.861312,2.883699,0.758115,0.764912,1001.381,0.758134,1.272016,2.143338,1.305276,0.994963,0.615117,1.246779,0.550724,2.880438,0,0.280283,1.12458,0.462321,4.711793,1.060098,0.706498,0.826378,0.60742,3.832198,2.963048,0.659838,0.692581,0.624463,0.285093,1.934682,0.660906,0.813286,0.710444,0.533055,0.420439,1.44259,0.59598,0.718314,0.19924,1.980133,0.694666,3.338095,0.616744,2.077406,0.532639,0.78336,0.302976,0.69479,2.856722,0.488661,10.4803,0.688982,0.254054,0.81594,1.565452,0.698408,1.029073,1.411694,0.385947,0,1.5533,1.461568,1.664938,0.34341,0.903418,1.092397,0.728183,1.209022
Forestry harvesting,0.097567,0.069389,0.098185,0.25294,0.1031,0.305981,0.313882,0.123648,0.108887,0.630099,0.620596,0.629078,0.066398,0.965104,0.664913,0.602161,0.363654,0.077827,0.211542,1.988131,0.127818,0.275334,0.401226,0.135425,0.332939,1.874219,0.049442,0.469977,0.043037,0.105309,0.594152,0.535272,0.125198,0,0,4.510074,0.112037,0.287196,0.353106,1.219742,0.068325,0.129483,0,0.097567,0.054804,0.160301,0.215351,0.125141,0.364341,0.093532,0.361092,0.400658,0.124954,0.178546,0.309332,0.304375,0.31125,0.615721,0.119232,0.775924,0.159683,0.035755,0.057075,1.084076,0.389701,13.41167,0.138199,0.103441,2.627274,0.214901,0.825416,0.200256,0.103531,0.223246,0.111263,0.145812,0.085171,0.067892,0.081944,0.787558,0.036408,0.59485,0.477992,0.148849,0.112163,0.10501,0.495443,0,0.117667,0.191228,0.192172,0.133709,0.08036,0.301784,0.125192,72.10276
Forestry planting,0.087518,0.060042,0.075828,0.150653,0.091466,0.154568,0.273863,0.104392,0.078208,0.25408,0.255144,0.254943,0.053965,0.410219,0.253373,0.236382,0.156128,0.052456,0.110334,0.852047,0.212549,0.227185,0.193647,0.070293,0.14007,0.65029,0.078233,0.195025,0.168983,0.104372,0.255474,0.228476,0.080963,0,0,1.581129,0.173067,0.117695,0.179318,0.461024,0.051002,0.075055,0,0.068787,0.049942,0.089418,0.211369,0.078396,0.218777,0.064795,0.153577,0.191389,0.133794,0.101243,0.133153,0.237825,0.125236,0.244849,0.088512,0.299601,0.090265,0.022327,0.047072,0.402491,0.172022,4.512315,0.057607,0.092755,0.931271,0.143887,0.310335,0.098114,0.070868,0.168476,0.0733,0.074551,0.061888,0.037391,0.134408,0.288823,0.032315,0.256461,0.211898,0.2521,0.07987,0.088153,0.189315,0,0.164332,0.109459,0.145674,0.070883,0.06808,0.155048,0.088212,24.07548
Furniture,0.046645,0.039379,0.025367,0.096879,0.071283,0.122651,0.188707,0.116046,0.04392,0.109973,0.226222,0.151216,0.092657,0.112794,0.157173,0.082977,0.101854,0.034825,0.128511,0.162131,0.098479,0.194836,0.145282,0.271875,0.149165,0.052545,0.033005,0.135076,0.029341,0.057361,0.172262,0.197936,0.088929,0.287717,0.564802,1002.985,0.034852,0.041238,0.128381,0.110826,0.039472,0.180079,0,0.012906,0.065824,0.086441,0.071425,0.127323,0.14436,0.113398,0.19324,0.134545,0.03489,0.066931,0.459003,0.096437,0.162546,0.12495,0.103877,0.13192,0.14222,0.019575,0.050232,0.275853,0.171505,0.139373,0.063265,0.067988,0.130335,0.53906,0.093777,0.06418,0.043699,0.057549,0.11736,0.093957,0.121313,0.123877,0.214939,0.248144,0.074163,0.166281,0.078466,0.358702,0.047138,0.06757,0.300204,0,0.068654,0.176878,0.082601,0.028154,0.049649,0.242503,0.125667,0.353515
Gambling,7.23563,0.56221,0.934658,0.369881,1.196198,0.393567,0.394711,0.742028,0.948168,0.261196,0.57667,0.702174,0.777362,0.427846,0.189493,0.370061,0.241082,0.643247,0.493752,0.563184,7.749627,2.251582,0.257035,0.236218,0.278221,0.327852,0.927244,0.281458,2.952267,4.536605,0.301819,0.320552,0.484249,0.663624,1.272575,0.573983,1093.406,0.310357,0.275544,0.296274,0.559341,0.250774,0,0.319105,1.083602,0.201885,1.471878,0.258363,0.194885,0.416416,0.32087,0.333123,66.48547,0.39709,0.246007,0.370767,0.211701,0.338484,0.475666,0.481012,0.277102,0.202834,0.637252,0.527408,0.326612,0.310814,0.242173,0.814508,0.55224,0.559751,0.314871,0.653335,0.711297,0.47906,0.36183,0.326142,0.653665,0.381038,0.74727,0.199981,0.526282,0.364907,0.583851,29.29637,0.586137,0.995573,0.146452,0,1.248115,0.329219,0.398676,0.156388,0.587664,0.516223,0.458572,0.426076
Gas etc,3.112703,1.314342,1.180643,2.932274,2.779822,9.261341,22.81253,2.532193,2.444892,11.53937,11.56961,2.098914,1.533688,35.61742,4.023366,13.83709,21.382,1.590087,5.876185,3.686761,3.639982,10.03322,8.891834,2.660674,8.500366,0,1.764906,17.51152,0.853725,2.054386,14.63745,11.86248,2.687371,6.919307,2.789341,10.30473,1.539911,0,45.74436,11.76385,0.976965,4.437436,0,1.702935,1.766803,27.21421,1.578268,11.83115,5.060455,1.237661,13.64632,7.389878,1.260157,23.40752,4.614046,15.00206,2.259096,9.838871,2.213621,5.825186,17.47865,1.199912,0.953833,10.98291,6.830637,27.34504,2.721222,2.869821,8.262287,3.849282,2.690707,6.329249,0.850855,1.048381,2.35662,4.579102,1.310714,1.783143,2.907485,9.420461,0.560804,5.46209,12.59584,4.936111,1.267223,2.523529,5.406162,0,1.706412,4.654473,2.554626,5.9824,1.012198,7.286977,2.004062,10.33136
"Glass, clay & stone etc",0.204758,0.059218,0.065202,1.607106,0.809026,0.356383,0.522885,0.114235,0.068689,0.38486,15.92591,0.982339,0.06829,0.607404,1.63159,0.48158,0.505826,0.084679,2.700677,5.382662,0.192678,0.549813,1.479169,0.282287,1.946698,0.118316,0.062118,0.786929,0.079365,0.125204,1.467903,0.48943,0.382462,0.410815,0.281093,0.515423,0.106397,0.098852,1013.198,0.543482,0.065499,0.184705,0,0.189327,0.115719,0.209477,0.251984,3.102172,0.317579,0.08964,0.436773,0.783191,0.172332,0.22675,3.11223,1.368549,0.491929,2.209972,0.407368,0.345919,0.395397,0.068167,0.070306,1.400814,1.069885,0.30038,0.322804,0.240623,0.273969,0.429493,0.105298,0.912205,0.09695,0.527251,0.120053,0.426766,0.307427,0.100765,0.127563,10.06055,0.085438,3.909376,7.441844,0.171482,0.263738,0.37154,0.230256,0,0.241827,0.322966,0.567398,0.152121,0.209818,0.172807,0.934321,2.566726
Grain milling & starch,0.154072,0.005743,0.005184,0.413301,0.012295,14.11312,0.682684,0.006632,0.005393,9.970045,3.967253,0.021413,0.007923,0.01618,0.018084,0.006929,0.011246,0.004899,0.017602,0.010119,0.049107,0.015424,0.460929,0.04618,0.01327,0.004185,0.005002,0.012236,0.005417,0.007821,0.551193,0.031266,0.283119,0.018773,0.019994,0.009799,0.043343,0.00552,0.014672,1005.197,0.004836,0.037865,0,0.001166,0.004576,0.013568,0.011225,0.028209,0.117182,0.004483,0.014928,1.163217,0.009646,0.009602,0.020595,0.012107,0.014355,1.423588,0.010123,0.009951,0.013568,0.001955,0.00439,0.010754,0.014001,0.726557,0.11641,0.010658,0.044926,0.012467,0.01896,0.008744,0.00304,0.003047,0.005381,0.007646,0.006081,0.010807,0.060255,0.02091,0.005322,0.038961,2.424926,0.041193,0.004711,0.006063,0.016428,0,0.008459,0.017444,0.009016,0.002984,0.008264,0.013384,0.007842,0.014472
Head office & consulting services,3.368649,3.119543,21.84409,0.958405,3.922662,1.564582,1.584696,8.819459,2.540973,1.481745,10.36753,5.647482,13.91009,2.295632,9.761369,1.745977,1.302679,7.699154,1.758959,3.300332,6.819998,6.951777,1.114142,1.050229,1.522127,1.556472,19.19739,1.70205,4.683955,23.63628,2.259493,2.036265,2.788841,3.954375,1.596048,4.66655,4.419987,1.178843,1.927327,2.175908,1028.666,1.081197,0,1.5353,4.198884,0.898794,11.47958,1.127919,5.596943,3.57827,1.701149,1.588881,1.848708,1.585984,3.017677,1.906446,1.53358,1.943591,2.646365,2.772489,1.331245,1.478116,4.230183,2.287959,3.290327,1.535231,1.428849,3.408791,3.468952,4.99472,3.806607,3.308207,4.063613,2.995587,3.015656,3.610478,4.08943,2.778338,1.0539,1.473473,4.447802,5.386787,10.13103,7.274286,3.434778,2.842222,1.661454,0,4.712768,1.467125,2.642069,1.284434,2.68199,3.357707,3.856133,2.779781
Health,0.124895,0.246477,0.1176,0.251881,0.183178,0.085775,5.176527,0.212468,0.11309,0.252118,0.156409,0.450123,0.088225,0.209234,0.230155,0.069191,0.151799,0.130254,0.260513,0.135428,0.066553,0.066169,0.176641,0.211174,0.18106,0.424009,0.124864,0.248619,0.506399,0.394304,1.890879,3.448447,0.13827,0.092139,0.077362,1.07068,0.181066,0.188467,0.078991,0.189378,0.156468,1006.528,0,0.048644,0.050014,0.187166,3.59954,0.120059,0.055143,0.103757,0.216869,0.174216,0.196641,0.465167,0.108231,0.082916,0.16721,0.107329,0.140714,0.184635,0.428367,0.506613,0.100946,0.480936,0.760274,0.127268,0.345004,0.26798,0.166751,1.258995,0.063776,0.131757,0.323691,0.10248,0.102798,0.239692,0.050526,1.352713,0.46445,0.510328,0.024542,0.079541,0.121536,0.086334,0.065437,0.134039,0.156664,0,0.160987,11.48147,0.679538,0.131404,0.133604,0.466752,0.120073,0.400721
Households as employers,0.000256,0.000343,0.000267,0.000835,0.000498,0.000764,0.000623,0.00038,0.000378,0.000893,0.001011,0.000422,0.000305,0.003584,0.000662,0.011363,0.000606,0.000527,0.000936,0.004778,0.000426,0.000626,0.000806,0.00087,0.000832,0.000697,0.000534,0.001875,0.000291,0.000317,0.000942,0.00049,0.000239,0.003389,0.002083,0.00248,0.000219,0.001148,0.001775,0.000499,0.000206,0.000859,1000,0.000222,0.000459,0.000691,0.000891,0.000921,0.000468,0.000371,0.001057,0.00106,0.000363,0.003875,0.000474,0.003081,0.000551,0.001166,0.002776,0.001259,0.000658,0.000392,0.000184,0.001257,0.000897,0.001071,0.000104,0.001085,0.002267,0.000532,0.000598,0.013652,0.000434,0.000534,0.003466,0.001019,0.000506,0.000275,0.000297,0.000897,0.000161,0.001427,0.000925,0.000518,0.00179,0.000363,0.00086,0,0.002191,0.000634,0.00645,0.000531,0.000422,0.000945,0.001795,0.001889
Imputed rent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information services,0.842016,0.728374,1.60226,0.68827,1.946574,0.559463,0.319999,1.282882,1.415339,0.260583,1.092504,0.986683,1.735107,0.389265,0.309239,0.202718,0.232624,1.292122,0.425843,0.38062,14.49817,0.960657,0.4023,0.227562,0.348528,0.31344,0.89699,0.215024,1.103707,1.7457,0.451241,0.320685,0.592772,0.41201,0.233324,0.779937,0.690446,0.29452,0.30001,0.394307,1.51928,0.282438,0,0.138823,1002.079,0.199441,2.429725,0.36191,0.247947,0.631871,0.405074,0.439644,0.58155,0.294936,0.332676,0.288886,0.251969,0.370494,0.795501,0.529388,0.353463,0.253197,0.843195,0.639099,0.415589,0.428585,0.329528,1.287644,0.956432,0.45238,0.750973,0.911977,0.62818,0.322882,0.5274,0.562367,1.27237,1.201198,0.224947,0.240708,0.755857,0.612518,1.075204,0.962476,1.009142,1.533127,0.192835,0,0.779168,0.471367,0.313652,0.114919,0.707319,0.390998,0.793762,0.501039
"Inorganic chemicals, dyestuffs & agrochemicals",0.10845,0.02354,0.059959,6.48055,0.155467,0.719039,0.748256,0.050391,0.032872,0.438073,1.299979,0.679776,0.067966,0.970828,4.848811,0.547065,9.487229,0.036257,0.344214,0.310758,0.207571,0.17164,2.177704,0.094316,0.199994,0.055589,0.031459,0.424305,0.087776,0.043423,0.676751,0.134178,0.14595,1.143381,1.199445,0.171253,0.16593,0.043194,1.028216,1.720866,0.034709,0.329948,0,0.019222,0.030974,1022.884,0.09237,0.879023,1.365142,0.02724,0.168334,2.122888,0.089975,0.292033,0.320841,1.149316,11.76114,0.890556,0.127366,0.217144,0.20997,0.067346,0.051276,0.300182,11.852,1.630249,0.460765,0.049268,0.900018,0.119443,0.216927,0.090555,0.03174,0.056952,0.048736,0.124002,0.088239,0.162016,0.07688,1.700839,0.05505,0.626607,0.315751,0.195622,0.075315,0.066301,1.683317,0,0.06247,0.340891,0.147078,0.524182,0.068796,0.313191,0.098531,0.507547
