Row Labels,Accommodation,Accounting & tax services,Advertising & market research,Agriculture,Air transport,Animal feeds,Aquaculture,Architectural services etc,Auxiliary financial services,Bakery & farinaceous,Beer & malt,Building & landscape services,Business support services,Cement lime & plaster,Cleaning & toilet preparations,Coal & lignite,"Coke, petroleum & petrochemicals",Computer services,"Computers, electronics & opticals",Construction,Creative services,Cultural services,"Dairy products, oils & fats processing",Education,Electrical equipment,Electricity,Employment services,Fabricated metal,Film video & TV etc; broadcasting,Financial services,Fish & fruit processing,Fishing,Food & beverage services,Forestry harvesting,Forestry planting,Furniture,Gambling,Gas etc,"Glass, clay & stone etc",Grain milling & starch,Head office & consulting services,Health,Households as employers,Imputed rent,Information services,"Inorganic chemicals, dyestuffs & agrochemicals",Insurance & pensions,Iron & Steel,Leather goods,Legal activities,Machinery & equipment,Meat processing,Membership organisations,Mining Support,Motor Vehicles,"Oil & gas extraction, metal ores & other",Other chemicals,Other food,Other land transport,Other manufacturing,Other metals & casting,Other personal services,Other professional services,Other transport equipment,"Paints, varnishes and inks etc",Paper & paper products,Pharmaceuticals,Post & courier,Printing and recording,Public administration & defence,Publishing services,Rail transport,Real estate - fee or contract,Real estate - own,Rental and leasing services,Repair & maintenance,Repairs - personal and household,Research & development,Residential care and social work,Rubber & Plastic,Security & investigation,Soft Drinks,Spirits & wines,Sports & recreation,Support services for transport,Telecommunications,Textiles,Tobacco,Travel & related services,Veterinary services,"Waste, remediation & management",Water and sewerage,Water transport,Wearing apparel,Wholesale & Retail - vehicles,Wood and wood products
Publishing services,0.571978,0.361518,0.46921,0.219646,0.798876,0.797249,0.266608,1.115335,0.468853,0.726085,0.989158,0.415563,0.664114,0.574423,1.236352,0.298804,0.257929,0.920435,0.431495,0.311382,0.693244,1.437714,0.377751,0.708812,0.536207,0.613211,0.450816,0.540534,0.856943,1.117356,0.962561,0.22951,0.510965,0.920054,0.455066,1.332737,0.582113,0.348979,0.648211,2.732495,1.098843,0.165978,0,0.165461,0.926834,0.204258,1.545831,0.240909,0.960015,0.587041,0.499905,0.480281,1.133747,0.270778,0.35134,0.25198,0.424722,1.320189,0.596159,1.002468,0.330182,0.209592,0.365979,0.492542,1.715418,0.848467,0.711504,0.922148,3.469801,0.86251,1011.892,0.797054,0.827385,0.270778,0.887069,0.396828,0.418489,0.274905,0.516748,0.516487,0.30394,1.49206,1.139923,1.158211,0.594062,0.831744,0.481305,0,0.3577,0.277803,0.64533,0.192329,0.67579,1.173563,0.600601,0.751735
Rail transport,0.297538,0.48136,0.340303,0.408089,0.766283,0.183814,0.270109,0.610964,0.387812,0.425559,0.543379,0.258323,0.2291,2.110408,0.399644,4.14515,0.274626,0.169478,0.166369,0.58849,0.703633,4.319337,0.423783,1.124435,0.488735,0.258931,0.202536,0.698127,0.276024,0.444949,0.213208,0.30129,0.180037,22.35648,2.653688,1.241058,0.280652,0.215945,1.127588,0.592261,0.152264,2.541294,0,0.072457,0.358538,0.545157,1.307347,0.156733,0.151605,0.183866,0.475722,0.366291,0.33206,1.975132,0.352291,1.82825,0.232042,0.33268,0.597311,0.586149,0.17149,0.109656,0.25265,1.118153,0.417255,0.617263,0.070014,3.243505,0.580991,4.495993,0.363581,1003.639,0.842213,0.303994,0.626062,0.68545,0.899021,0.471566,0.29068,0.353184,0.623081,0.253003,0.457243,3.013113,1.122711,0.232703,0.379481,0,5.919007,0.984098,1.134461,0.134227,0.485296,1.019015,0.478307,1.822907
Real estate - fee or contract,0.149955,0.07267,0.07813,2.781229,0.241853,0.317582,0.281105,0.17486,0.111607,0.153407,0.220468,0.676162,0.139796,0.138117,0.157968,0.140303,0.059893,0.172614,0.092304,0.322442,0.130212,0.156257,0.93504,0.104454,0.099367,0.097412,0.226399,0.121974,0.366302,0.722273,0.308144,0.200957,0.155195,2.621656,7.641574,0.236263,0.096129,0.089053,0.097372,0.96621,0.303024,0.091914,0,0.251466,0.153993,0.050811,3.384143,0.058065,0.233363,0.118338,0.092887,0.9145,0.156915,0.107275,0.065576,0.106593,0.063808,0.439251,0.15891,0.137026,0.063604,0.189488,0.070018,0.117939,0.235919,0.126652,0.086462,0.198679,0.160047,0.235627,0.232279,0.333363,1001.955,0.152558,0.173612,0.136495,0.102079,0.104284,0.058158,0.102023,0.055656,0.238549,0.189697,0.124408,0.121095,0.170289,0.079261,0,0.181193,0.084494,0.217314,0.064121,0.16578,0.174181,0.118479,0.33883
Real estate - own,5.446241,2.631378,2.411149,5.002775,15.97531,2.854359,13.82239,4.158387,2.469615,3.747744,3.241211,4.940308,2.248781,4.106146,1.595952,1.459216,1.826335,4.47301,3.048713,7.118324,5.84328,7.730335,3.190714,2.417267,3.612289,3.522346,5.441902,5.636609,1.844116,14.10311,3.425661,2.580371,5.663727,2.513986,2.078302,11.32495,2.182665,3.913067,3.432688,2.769456,2.09362,7.704427,0,1.821768,2.740209,1.901303,17.16892,2.147119,10.31626,4.417808,3.337841,3.497155,1.094709,1.759377,2.7763,3.343126,1.901764,3.691145,8.336417,1.668566,2.815235,3.113825,1.603968,4.134693,2.492416,2.567513,0.872489,9.079847,6.119604,16.97269,2.808233,2.807612,8.166954,1005.535,2.533164,3.988406,3.857778,5.412114,3.068488,3.112165,1.228596,3.334101,2.107487,6.46313,5.062172,7.758539,1.867786,0,15.22858,4.078503,11.47026,3.444475,8.46158,2.896608,3.877614,4.979879
Rental and leasing services,0.745831,0.960159,0.759544,2.277618,1.413845,2.084581,1.723397,1.116204,1.083219,2.43631,2.760845,1.225114,1.107055,9.709264,1.809855,30.71783,1.657046,1.548779,2.563257,13.0001,1.239576,1.779512,2.19972,2.379278,2.276176,1.908834,1.623819,5.088511,0.848177,0.94782,2.592429,1.370299,0.688504,9.188729,5.665002,6.76029,0.647369,3.125446,4.82194,1.367669,0.72326,2.359185,0,0.618374,1.354757,1.883031,2.51399,2.509169,1.28704,1.061252,2.886764,2.897196,1.033226,10.49565,1.301216,8.346138,1.503272,3.177286,7.564697,3.430606,1.79965,1.080244,0.588455,3.449951,2.444254,2.911714,0.29534,2.985867,6.153093,1.500014,1.65657,36.91819,1.229708,1.496184,1009.414,2.878628,1.450516,0.964651,0.837774,2.443885,0.475961,3.88306,2.523479,1.530212,4.874166,1.037125,2.334631,0,5.99029,1.760157,17.48497,1.45741,1.188545,2.57962,4.892013,5.131149
Repair & maintenance,0.640049,0.500672,0.643976,2.640474,11.59592,6.129072,21.14946,1.33224,0.978471,4.762315,17.26503,3.422789,0.644961,2.705776,8.450343,7.53105,5.9299,0.970539,18.81398,14.08778,0.879862,4.85023,3.337669,0.640643,21.09072,3.562021,0.432243,8.457863,0.606016,0.822193,7.86429,39.40334,0.867732,9.45394,6.219858,4.239396,0.714717,1.302196,3.808506,7.741318,0.479663,2.461444,0,0.592779,1.601369,2.594816,1.336729,5.172201,2.124151,0.563919,29.79517,2.98601,0.550179,16.61598,19.2191,4.850046,2.250183,3.849633,2.531853,9.361277,11.1156,0.332344,0.542728,64.46278,11.29295,4.806137,1.509643,1.313934,2.776805,3.593813,0.938494,5.800041,0.68547,1.738378,1.574005,1022.294,4.388332,2.375541,0.636989,15.59484,0.398857,8.803621,7.118192,2.212605,3.01531,5.41677,2.071627,0,2.031251,7.96282,4.681799,2.80646,15.55354,2.59897,3.032994,14.25109
Repairs - personal and household,0.154172,0.199594,0.09254,0.047775,0.615107,0.050214,0.078797,0.440004,0.171719,0.037265,0.07455,0.092415,0.130326,0.056839,0.045073,0.068122,0.039753,0.356202,0.111218,0.073175,0.089834,0.660569,0.043238,0.335594,0.098964,0.041403,0.237728,0.054104,0.107357,0.366235,0.059215,0.070026,0.060599,0.086046,0.08975,0.074599,0.184919,0.038629,0.072829,0.048461,0.125502,0.849866,0,0.046675,0.453098,0.035642,0.133619,0.050265,0.047328,0.077573,0.074858,0.044455,0.075902,0.056539,0.071039,0.064671,0.062125,0.043271,0.252113,0.064747,0.056447,0.087711,0.071746,0.124443,0.054761,0.044721,0.030826,0.149512,0.154992,2.203782,0.116368,0.107138,0.166246,0.107292,0.107662,0.474996,1002.333,0.238669,0.363581,0.045891,0.072776,0.056095,0.05912,0.565549,0.096415,0.070801,0.029207,0,0.161556,0.062749,0.378666,0.029879,0.148145,0.193044,0.054395,0.066651
Research & development,1.404522,0.963188,1.211217,0.500252,1.298038,0.5334,0.62056,3.136701,1.197566,0.471722,0.79798,1.137207,12.1065,0.684555,0.608607,0.682527,0.498071,3.704062,0.939781,1.077933,2.535824,1.846432,0.528046,0.839555,0.643055,0.500259,2.290038,0.491032,1.877792,2.528714,1.147015,0.708123,1.144334,0.753821,0.636474,1.338695,1.678831,0.447951,0.616369,0.595602,5.897399,0.677717,0,0.240196,3.725352,0.391612,2.551683,0.48141,0.484018,2.049892,0.677472,0.568943,1.673014,0.825434,0.497994,0.61386,0.539357,0.573391,2.078213,0.737073,0.49911,0.582743,3.029045,1.045632,0.552642,0.468234,0.403437,1.203407,0.707137,1.316574,0.68905,1.392833,1.22863,0.628475,1.662816,1.516584,2.372934,1032.642,0.660138,0.499004,0.866093,0.814535,0.744768,2.425591,1.098545,0.980169,0.331905,0,1.463353,1.002803,1.634008,0.333499,0.855583,0.790972,1.406819,0.682836
Residential care and social work,1.094954,0.062871,0.060853,0.059082,0.104613,0.052658,0.151094,0.093561,0.079904,0.057452,0.970191,0.218879,0.277031,0.098196,0.064702,0.185528,0.045188,0.06536,0.605453,0.222446,4.701533,0.224662,0.053833,0.983157,0.054089,0.050571,0.075776,0.066891,0.173761,0.182489,0.089985,0.105107,0.580357,0.141389,0.176474,0.119775,0.776897,0.045668,0.069338,0.088249,0.061426,15.65348,0,0.02858,0.069942,0.032773,0.270871,0.039295,0.050211,0.076397,0.065769,0.058206,2.787384,0.096351,0.054416,0.087517,0.038713,0.071477,0.252207,0.075471,0.043399,0.716931,0.046172,0.084195,0.094835,0.107293,0.043894,0.092788,8.791543,0.275521,12.75683,0.267082,0.072564,0.091677,0.100133,0.054109,0.056191,0.160978,1150.887,0.076374,0.036133,0.080849,0.072068,3.998741,0.293478,0.08568,0.043801,0,0.217218,0.234983,0.165112,0.069151,0.084627,0.076195,0.451788,0.083774
Rubber & Plastic,0.679101,0.32751,0.579472,4.041534,1.270717,3.715159,6.572904,0.687745,1.219258,14.01059,3.064802,5.330695,0.609395,1.995619,26.36559,1.478685,1.725611,0.721386,3.867764,10.73419,0.808413,1.251558,16.73507,0.775924,6.248853,0.448644,0.362614,4.103867,0.389223,1.107226,14.65861,6.271033,0.90005,1.456071,1.323523,9.011738,0.437626,0.309944,3.293945,4.78534,0.470743,1.440866,0,0.465388,0.884321,1.305769,1.276639,1.367013,7.525143,0.79153,9.035246,11.45789,0.596576,1.431825,14.80208,1.941626,12.05282,11.95252,7.103902,5.627003,2.105859,0.566568,0.424216,12.3877,13.71095,7.983347,2.671529,1.455148,6.341505,1.355956,1.20244,1.946934,0.749494,1.357173,0.915093,4.343937,2.214496,0.865226,0.697111,1061.298,0.473839,26.94583,2.303599,1.11263,2.193053,6.090452,7.282794,0,2.586051,2.481903,1.326417,0.774369,1.619634,2.176331,7.072656,6.337801
Security & investigation,0.579297,0.450447,0.178126,0.186115,0.68223,0.189423,0.31172,0.43318,0.405249,0.168083,0.248543,1.502448,0.346157,0.341132,0.13456,0.271395,0.178661,1.633469,0.190793,2.262481,1.9661,6.227194,0.168811,1.204397,0.175071,0.192029,0.250972,0.238792,1.068629,5.674172,0.226868,0.311253,0.358345,0.355401,0.360723,0.300569,1.295664,0.14962,0.22956,0.163394,0.257426,0.84547,0,0.423959,2.007307,0.146943,0.516741,0.165367,0.143521,0.497637,0.196182,0.157514,0.437152,0.301105,0.1977,0.387667,0.226526,0.205405,0.704337,0.282774,0.195414,0.28323,13.97787,0.264432,0.162238,0.190223,0.097557,1.025997,0.202874,2.100812,0.158298,0.554309,0.672824,0.551421,0.623636,0.18368,0.761703,1.387782,1.13579,0.160933,1006.995,0.208501,0.215667,2.412595,0.667451,0.47848,0.1077,0,4.041395,0.160118,2.670403,0.488777,0.607602,0.389252,0.744538,0.282015
Soft Drinks,0.196576,0.035982,0.038032,0.084249,0.219603,0.076187,0.079357,0.021753,0.049472,0.060963,0.064278,0.190545,0.074192,0.050715,0.035123,0.03061,0.038324,0.015953,0.057712,0.037219,0.383053,0.210697,0.069436,0.058646,0.045434,0.016347,0.030762,0.045055,0.196818,0.082107,0.175557,0.025492,0.566472,0.063562,0.038065,0.037771,0.294918,0.022629,0.042066,0.077491,0.046838,0.033668,0,0.007003,0.012601,0.046286,0.048631,0.056141,0.051743,0.046089,0.052609,0.074938,0.406102,0.021513,0.076708,0.045063,0.037814,0.078618,0.038504,0.033426,0.052243,0.012724,0.083168,0.039948,0.039489,0.046149,0.012341,0.16236,0.039829,0.037014,0.02562,0.119074,0.03758,0.013271,0.022512,0.027388,0.020043,0.037316,0.1146,0.041,0.034085,1002.176,0.034339,0.601457,0.123704,0.041943,0.039935,0,0.093042,0.029066,0.03504,0.009503,0.038227,0.04402,0.031068,0.042673
Spirits & wines,2.483125,0.095433,0.098417,0.648493,0.339618,0.954151,1.117314,0.128308,0.090999,0.510618,3.163234,0.265585,0.113063,0.659205,0.502474,0.292633,0.591928,0.079238,0.807675,0.507119,0.186851,0.228642,0.841289,0.103275,0.639807,0.182758,0.095566,0.608173,0.085828,0.13482,0.99863,0.310773,5.29371,0.80973,0.309801,0.468901,0.161987,0.284496,0.572121,0.754206,0.081871,0.298684,0,0.048993,0.087408,0.794165,0.203494,0.828056,0.666925,0.094601,0.747316,0.869711,0.431428,0.206285,1.148658,0.610345,0.578117,0.656738,0.257556,0.435297,0.763525,0.046203,0.08333,0.53187,0.59506,0.672756,0.150586,0.184245,0.505156,0.263695,0.302125,0.164255,0.080399,0.132207,0.230507,0.326634,0.230049,0.375222,0.230542,0.583786,0.190848,0.579523,1002.871,0.246882,0.143652,0.221043,0.591001,0,0.240831,0.327528,0.322504,0.107714,0.167807,0.564215,0.343749,0.66819
Sports & recreation,0.863899,0.652109,0.6872,0.306396,1.432105,0.723992,0.343598,1.149544,0.5942,0.620602,0.8446,1.266444,0.682056,1.682031,0.957799,0.25353,0.229189,0.998836,0.423839,0.484296,3.892074,8.22601,0.412397,0.776687,0.421973,0.545356,0.969961,0.536166,7.498681,1.557265,0.834396,0.286709,0.654339,6.818482,19.96755,0.835168,1.29602,0.349019,0.949976,2.654965,1.12655,0.23649,0,0.198397,0.88996,0.181793,2.385444,0.211709,0.770992,0.88006,0.384967,0.52979,3.623626,1.829222,0.276623,0.910251,0.266606,1.663467,1.018555,1.496686,0.319739,0.375306,0.548462,0.529739,1.45401,0.659159,0.550229,1.194592,1.142887,1.617214,2.033581,0.760081,0.834913,0.473565,0.906501,0.530132,0.408894,1.053267,0.670753,0.362525,0.478841,1.357669,1.102505,1005.428,0.583632,0.9641,0.604516,0,15.44584,0.245518,1.18788,0.127253,1.313137,1.976837,0.803583,1.108196
Support services for transport,2.332356,1.44597,1.09247,3.052813,30.14599,4.158554,4.995895,4.312281,4.363175,3.01651,4.655229,6.652591,5.30669,5.774316,3.640943,3.275951,2.644588,4.311088,4.06639,4.274956,4.517341,2.933622,4.046184,1.335572,3.332572,2.687966,7.990605,4.08509,2.918819,9.046583,4.924998,10.89453,3.971366,9.220209,2.468773,6.874059,2.559411,2.583682,4.823644,3.452008,1.909805,2.060889,0,0.969668,1.509751,3.39541,7.672714,3.500485,4.256815,1.65796,4.532335,3.651507,1.957367,2.580857,5.07508,5.374981,3.74601,3.419357,16.4225,4.016417,3.986791,1.035088,1.720158,4.979016,4.003783,3.096042,1.319704,12.49742,3.043046,3.179623,1.824311,151.6896,9.599482,2.4885,4.61488,2.949046,3.749794,1.851527,1.491789,3.723055,2.203196,4.370264,3.080898,2.667477,1114.606,5.798592,2.485656,0,2.788576,1.924415,4.983492,2.659397,72.83186,7.562656,7.048028,3.864915
Telecommunications,4.855423,5.73653,15.00504,2.816219,5.101308,1.839865,4.238913,5.538039,34.11524,1.560265,2.477928,6.664706,4.168444,3.681607,1.603353,2.299902,1.283593,3.49401,2.602187,4.423352,3.037989,4.769629,1.869055,1.27119,2.163528,1.655415,7.01841,3.101172,13.67409,12.88592,2.586969,4.430371,5.78986,6.349302,7.75017,4.443722,4.380704,1.11835,2.239963,1.854886,7.385106,4.325011,0,2.72556,2.866296,2.059398,18.86062,2.059316,2.757971,7.690516,2.73361,2.013426,2.720837,2.186943,1.760913,2.661973,1.477369,2.008929,3.914211,3.105865,1.786865,1.480823,2.834819,2.116693,1.989039,1.703778,1.110972,9.604529,3.321226,11.07622,2.435724,4.189905,10.2553,3.386266,4.536147,2.467909,3.970087,2.480031,3.010225,1.790779,2.39436,2.317047,1.747591,4.480045,4.814766,1058.234,1.523789,0,6.990914,6.945756,3.373098,3.602872,4.076056,2.778513,3.22782,2.751269
Textiles,0.271616,0.100327,0.15692,1.48948,0.534628,0.584,3.313423,0.150959,0.140652,0.921612,0.815579,1.326383,0.125324,0.57118,1.842447,0.203096,0.280874,0.116182,0.402555,0.905196,0.282218,0.561838,1.171699,0.288995,0.548316,0.108408,0.063581,0.420158,0.111893,0.234327,1.312653,2.61083,0.463731,0.441613,0.509559,2.921638,0.275898,0.099742,0.394028,1.510122,0.113264,0.621045,0,0.069116,0.150249,0.25021,0.288959,0.309078,13.81851,0.156156,0.791308,1.03241,0.204465,0.225532,3.15238,0.249103,0.786298,0.969994,0.384243,1.301616,0.350457,0.346513,0.105922,0.913766,0.579768,4.849747,0.209656,0.380938,2.668312,0.334194,0.938053,0.22921,0.243928,0.141591,0.257832,0.371094,0.173041,0.397295,0.298335,2.771924,0.096724,1.105723,0.427813,0.579719,0.194787,0.267535,1063.115,0,0.27634,1.123551,0.222047,0.135313,0.216063,59.87894,1.121167,0.619035
Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
Travel & related services,15.55537,6.430748,0.759026,2.14791,64.04744,3.17326,3.930669,1.134668,8.072238,4.067912,3.647336,0.848902,0.682457,3.104608,1.309117,1.841455,1.166371,1.670414,1.184488,1.808864,1.807893,0.732152,2.535041,3.887122,2.859381,4.047056,7.650052,1.429388,3.006503,7.996515,2.274672,1.812053,14.79444,2.51166,2.507443,5.463334,0.50961,3.040292,2.248275,2.167935,0.701976,1.533805,0,0.556613,2.376292,1.315378,1.995802,1.354555,3.072805,2.338256,5.637921,2.344284,0.499444,1.31121,3.113638,5.223282,0.973426,2.022331,39.26281,7.411226,1.256082,0.346389,0.456194,4.246025,1.276126,4.037219,0.401276,13.10906,3.018324,2.6179,1.424927,4.534374,4.990882,1.37575,1.700794,4.510695,0.947919,0.762209,1.123669,1.763088,0.588997,2.01854,4.212828,0.922756,5.811789,8.239699,1.610336,0,1345.298,1.202477,2.593271,1.050176,60.74809,2.772187,21.70297,3.639108
Veterinary services,0.162125,0.005263,0.005218,12.23635,0.01296,0.855278,2.546403,0.009833,0.006086,0.146174,0.31006,0.011054,0.006975,0.015987,0.00983,0.02258,0.008887,0.005528,0.010271,0.022175,0.01638,0.027044,3.884042,0.039516,0.008253,0.006831,0.006111,0.00996,0.1993,0.009946,0.753727,0.015698,0.14211,0.121231,0.331151,0.012619,0.006838,0.006227,0.011108,2.721339,0.005486,0.075918,0,0.002524,0.005343,0.007081,0.019012,0.009479,0.260172,0.005967,0.009886,3.715479,0.013859,0.01518,0.011428,0.012407,0.007634,1.103196,0.012607,0.010252,0.008392,0.002745,0.003626,0.009695,0.011775,0.012634,0.026135,0.010161,0.012572,0.034821,0.009295,0.028459,0.005058,0.007258,0.010265,0.006437,0.005121,0.012135,0.059099,0.081862,0.003866,0.059583,0.115432,2.07749,0.007474,0.007815,0.013195,0,0.049517,1054.011,0.018656,0.003129,0.032503,0.011681,0.011616,0.018208
"Waste, remediation & management",1.450434,1.095795,1.625868,1.011352,2.046607,1.452545,4.709163,1.586125,1.076945,1.404016,1.147489,5.196367,0.91444,1.920403,0.811998,0.492807,1.102536,0.904325,0.609294,1.131036,1.923915,1.021277,1.420158,0.719772,0.825773,0.456541,0.679138,1.27715,0.938426,0.7234,2.242924,0.5287,1.293977,0.905129,0.932289,3.154273,1.104769,0.302038,2.430218,0.839128,0.521125,6.189057,0,0.180558,0.578265,1.594487,0.93527,11.08401,1.068137,0.687105,0.885923,2.000025,0.679614,0.360921,0.735882,2.310661,0.536851,1.129571,1.295911,0.808048,15.85935,1.044128,0.663194,1.199155,1.279555,1.621947,0.325729,1.654677,1.213901,7.801402,0.777085,1.137384,2.289945,0.540029,1.44353,0.524158,0.812983,1.052425,0.892212,1.038407,0.462626,0.996297,1.071215,3.513998,0.626338,0.739999,0.719751,0,1.224651,3.41416,1083.464,19.68547,0.839053,8.49648,1.122332,1.627392
Water and sewerage,1.071922,0.468532,1.115448,7.812966,1.037853,2.646625,7.697829,0.65911,0.536498,2.992333,4.792116,1.853102,0.325684,3.837982,1.361541,1.744649,10.12219,0.468691,1.30023,1.331156,0.654145,7.167577,5.597692,1.636672,1.52933,8.107061,0.948109,1.63171,0.840083,0.457046,5.199691,5.173879,0.761024,2.347909,0.64067,8.250889,1.397283,1.717482,3.674724,3.265569,0.254627,4.984101,0,0.20924,0.463002,5.738632,6.990909,1.786101,2.593561,0.494276,1.237499,3.76155,0.537577,1.232455,0.63994,3.996667,0.677143,3.285166,0.680209,2.025599,4.474014,0.489431,0.360355,1.78861,2.242482,3.281966,0.585568,1.21526,2.281989,3.291037,0.410478,0.754,0.896349,0.451752,0.911366,0.703324,0.779997,0.697399,1.679497,1.44099,0.261198,2.47372,5.97447,3.893472,0.391568,0.520766,1.198954,0,0.630435,2.735471,15.72484,1034.613,0.317557,1.25364,0.50281,2.805114
Water transport,0.152375,0.025769,0.080038,0.072531,0.324904,0.055107,1.576736,0.039732,0.153364,0.091674,0.591932,0.201588,0.158201,0.757365,0.077784,0.265625,0.19029,0.064584,0.24129,0.145373,0.140322,0.048039,0.168255,0.038287,0.160239,0.055532,0.161394,0.224358,0.062574,0.095081,0.207559,1.156249,0.102928,1.422273,0.049094,0.346875,0.186574,0.050237,0.409392,0.254159,0.07173,0.055761,0,0.017961,0.029417,0.179795,0.226148,0.424598,0.044881,0.027143,0.196887,0.081491,0.078063,1.475296,0.19693,0.740419,0.211975,0.168701,0.157991,0.708304,0.213766,0.02637,0.068323,0.174451,0.049187,0.130343,0.037275,0.647299,0.880162,0.071815,0.76639,0.5455,0.048609,0.043166,0.198187,0.135805,0.034819,0.022697,0.130278,0.108766,0.040898,0.06509,0.320566,0.098012,1.072021,0.16377,0.101286,0,0.736373,0.039517,0.259062,0.045106,1028.945,0.390032,0.186078,0.153482
Wearing apparel,0.035823,0.03619,0.026777,0.026951,0.148603,0.02077,0.331881,0.058148,0.046263,0.103028,0.025857,0.191045,0.017169,0.020475,0.037576,0.017105,0.025063,0.024839,0.023229,0.046327,0.049208,0.038925,0.036892,0.065917,0.042009,0.012877,0.013373,0.018825,0.016739,0.035382,0.055456,0.148376,0.045627,0.135239,0.354463,0.046064,0.043446,0.009615,0.022736,0.039719,0.024648,0.141706,0,0.005105,0.031244,0.01354,0.037946,0.016204,0.305666,0.028213,0.218191,0.027388,0.037604,0.114771,0.086338,0.022142,0.025098,0.032133,0.040025,0.152889,0.016967,0.036294,0.025506,0.089951,0.031399,0.067626,0.013242,0.044955,0.066834,0.240549,0.039696,0.030252,0.05374,0.01742,0.047689,0.099769,0.011469,0.050598,0.085291,0.05748,0.032924,0.032221,0.016612,0.070416,0.021329,0.035345,0.389275,0,0.027029,0.359713,0.05196,0.037099,0.014451,1003.29,0.056005,0.031403
Wholesale & Retail - vehicles,4.449662,3.945167,2.187333,34.06158,9.055525,7.530243,7.75618,1.952539,2.76374,12.67528,5.857536,5.811517,2.430959,7.424217,18.66495,8.514465,4.205812,5.522327,5.862544,15.01958,2.00407,3.083638,22.32562,2.284533,13.15637,2.730817,4.146238,5.268763,2.105109,4.76872,14.66959,14.67411,3.879314,24.36968,28.70038,11.09263,1.832802,1.761064,6.365316,11.36669,1.461829,2.781114,0,0.998708,9.26597,2.85387,8.459804,8.385632,6.333041,4.614002,24.84822,18.48338,1.951455,4.246055,48.94681,9.090118,8.371935,13.61194,24.57258,6.683435,4.254387,2.309994,1.747671,14.50524,11.53334,9.604797,2.729804,9.57444,7.693594,4.161505,4.775972,17.446,2.562769,3.405731,27.48138,8.943884,8.925391,2.866049,2.898141,42.97975,8.914388,19.66411,5.018209,3.636505,5.188371,7.40935,7.360259,0,10.37519,4.269227,12.24917,4.364468,7.121484,3.776082,1032.877,11.07488
Wood and wood products,0.783286,0.481883,0.386936,1.951786,0.770326,0.758999,2.120251,0.709469,0.48897,0.793495,3.627222,6.154834,0.504086,10.1104,0.958372,6.735227,2.898627,0.423882,1.566265,20.27299,1.036444,1.649013,1.368555,1.151502,2.436066,0.523266,0.33961,4.821454,0.357208,0.570571,1.34891,6.182261,0.999618,2.115661,3.791552,66.07642,1.366662,0.320956,0.68952,1.028998,0.497974,0.415166,0,0.849574,0.399531,0.39312,1.590038,0.658811,0.820638,0.667036,3.364929,1.5387,1.39311,1.251511,3.443226,1.733386,0.526991,1.121113,0.622113,9.642442,0.884336,0.156129,0.469915,14.6455,4.231142,11.19569,0.238355,0.649138,1.285516,1.163772,0.629169,0.840574,0.870015,2.023061,0.737493,1.359333,0.412406,0.47443,0.54601,3.166048,0.290717,2.861958,2.430658,0.877815,0.891697,0.869304,0.947744,0,0.713937,1.117615,1.032473,0.557221,0.751211,0.695027,0.875025,1175.153
